1 ; KA_Pos ; 142567 ;  ; 1 ;  ;  ; 1 ;  ; FKGr0 ; 0 ;  ;  ; 2 ;  ;  ;  ; 1 ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 71 ; 70 ; 3 ; 710 ;  ; 554IA0170SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 72 ; 70 ; 3 ; 720 ;  ; 909K31240SAA019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 73 ; 70 ; 3 ; 730 ;  ; 920AA0016SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 74 ; 70 ; 3 ; 740 ;  ; 980GE0001SXB000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
..3 ; FA_Pos ; 616033 ;  ; 75 ; 0 ; 3 ; 750 ;  ; 970H31036SXB069 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
1 ; KA_Pos ; 142567 ;  ; 2 ;  ;  ; 2 ;  ; NEGrI ; 0 ;  ;  ; 2 ;  ;  ;  ; 1 ;  ;  ;  ; 
.2 ; FA_Komm ; 142567 ; 616163 ;  ;  ;  ; 2 ; 2 ; 233AEN165PER149 ; 1 ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
..3 ; FA_Pos ; 616163 ;  ; 1 ; 0 ; 3 ; 10 ;  ; 233H23538PERN03 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
1 ; KA_Pos ; 142567 ;  ; 3 ;  ;  ; 3 ;  ; 800EK2201090010 ; 1 ;  ;  ; 1 ;  ;  ;  ; 1 ;  ;  ;  ; 
1 ; KA_Pos ; 142567 ;  ; 4 ;  ;  ; 4 ;  ; 800EK2201090020 ; 1 ;  ;  ; 1 ;  ;  ;  ; 1 ;  ;  ;  ; 
